Station,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits
RM,485,1927,1768,994,7022,1359,2168,1618,1878,581,1458,1148,559,262,525,257,139,223,422,128,374,190,167,238,462,4805,3533,6496,3540,2720,2831,757,829,1525,354,100,121,82,173,221,289,1181,383,77,251,299,178,266,144,274,57781
EN,2022,514,1797,1250,10827,1735,2859,3593,4698,1042,1950,1617,1001,632,781,233,414,408,442,253,531,170,153,460,517,9477,7662,11771,7179,3366,2698,960,1101,2502,257,135,281,87,226,361,426,1684,772,181,674,491,339,560,80,220,93389
EP,1827,1635,289,835,8263,1192,1719,2368,2563,610,783,737,411,301,258,140,187,213,251,211,301,190,116,327,159,5757,4756,4467,3660,1375,1102,387,391,758,80,68,162,40,120,116,159,1317,298,93,458,191,186,278,50,68,52223
NB,1127,1080,855,320,2279,803,1172,1895,1881,502,953,837,384,223,301,136,189,207,278,154,258,103,80,174,192,6508,4789,3812,4491,1904,1129,437,430,421,113,42,147,37,101,89,121,1584,367,51,526,194,188,246,51,79,44240
BK,7984,11378,8742,2688,1083,4049,4713,5935,6379,2569,3536,2549,2218,1851,1753,1196,1900,1642,1191,1305,1451,839,579,461,1160,10900,8523,9799,7622,4183,3407,1964,1374,1620,435,563,1262,260,724,483,389,2872,1757,534,1317,832,1703,2523,245,589,145031
AS,1497,1708,1265,800,3883,335,1093,2114,2149,649,1571,1129,609,440,385,229,275,256,279,199,200,108,87,171,299,5973,4878,4567,4519,2319,1542,501,452,600,69,77,156,57,183,94,182,1153,311,48,393,199,276,359,82,161,50881
MA,2562,2758,1643,1132,4519,1062,510,2495,2395,815,2667,2049,1533,861,914,616,591,650,1905,1283,1504,668,494,990,800,10109,8414,8570,7972,4564,2908,857,1033,921,244,166,525,327,1360,231,263,1890,463,252,493,482,510,652,537,1605,92764
19,1731,3733,2404,1971,5588,2222,2518,541,542,480,1714,2152,2042,1401,1595,861,1204,1204,1893,2062,2290,1300,991,1819,1043,13280,10436,9921,9588,5360,3834,1665,1302,1672,392,365,1257,489,1042,477,489,1771,866,561,521,772,896,1059,412,1367,115095
12,2058,4683,2517,1903,5714,2129,2408,530,630,466,1771,2416,2702,2235,2039,1264,1723,1504,2087,2312,2352,1117,969,1663,1079,12340,9334,11560,8349,4305,3234,1639,1742,2035,695,293,1475,627,1675,743,755,2606,894,400,662,676,724,1022,482,1892,120430
LM,596,987,625,607,2497,737,768,422,407,445,2458,3356,3984,3081,1956,1275,1225,1094,275,185,298,86,102,268,461,7999,6434,7317,6019,2834,2157,784,895,946,120,1410,2394,86,254,134,150,447,133,1143,464,943,651,816,129,405,73259
FV,1452,1864,722,875,3506,1595,2507,1943,1749,2283,708,3764,3691,3813,3486,1436,1237,1318,565,278,436,240,341,622,1796,8692,7170,9656,8557,4350,3364,924,1266,2215,153,914,2123,86,289,167,233,940,240,992,255,1110,663,993,132,356,98067
CL,1350,1593,783,817,2403,1108,2258,2113,2506,2853,3803,435,3030,2399,2328,1230,1470,1135,696,658,628,365,288,658,1112,4953,3546,6277,4243,1636,1806,745,777,1423,171,1129,3129,247,512,247,233,494,313,1143,638,983,1049,1444,199,765,76121
SL,611,930,270,430,2150,630,1637,2135,3040,4182,4022,2930,564,2229,3336,1673,1493,1866,469,326,312,81,129,385,670,7932,7030,7959,5634,1904,1436,523,982,1455,99,713,2175,59,251,162,177,567,107,916,209,1143,833,1127,100,357,80350
BF,232,524,253,294,1761,410,1010,1532,2385,3000,3851,2388,2174,475,1812,1101,1121,1348,371,126,223,94,58,145,635,6224,5617,7989,4546,1479,1046,458,647,942,113,787,1935,21,134,244,149,378,163,899,158,1119,693,823,85,134,64106
HY,493,877,265,321,1659,433,1078,1677,1971,1824,3469,2262,3284,1704,471,1469,2656,3368,530,191,277,111,85,156,597,3679,3086,3520,2392,962,612,267,358,764,120,276,1040,48,362,109,169,216,158,552,147,1642,1445,1677,142,404,55375
SH,302,208,134,109,1135,238,618,866,1137,1172,1322,1220,1511,1046,1337,308,1038,1427,159,125,152,36,35,58,255,3133,2777,2319,2128,639,701,99,228,437,16,298,522,50,70,71,51,158,62,339,190,1353,626,1140,49,127,33531
UC,177,413,208,224,1829,303,712,1292,1839,1195,1342,1406,1488,1303,2824,1311,536,1432,184,153,163,23,33,142,241,5349,3841,3204,2384,800,404,208,263,731,97,270,923,14,97,46,72,359,53,445,245,1738,1548,1731,41,89,45725
FM,251,445,231,247,1709,254,708,1171,1558,1138,1412,1089,1955,1335,3577,1651,1427,572,212,91,129,36,72,139,161,6639,4412,3178,2156,716,382,201,245,633,89,365,703,33,103,20,47,601,48,333,283,2031,2231,2581,26,152,49778
CN,430,470,238,256,1231,292,1869,1860,2090,346,550,684,477,357,517,162,190,228,667,1423,3976,2355,656,1352,314,6755,5852,5525,4504,1424,1193,567,597,1137,206,75,164,681,2989,239,255,1990,264,79,490,81,170,245,1673,2412,62557
PH,155,235,221,154,1296,234,1363,2112,2294,188,277,600,282,124,223,152,141,99,1506,453,1506,955,402,1497,184,10191,8538,5432,4145,1449,711,548,479,867,99,40,74,237,892,176,226,2465,148,43,618,97,143,171,537,1024,56003
WC,409,531,319,292,1548,211,1748,2460,2392,288,404,606,298,291,216,143,121,144,4165,1480,498,1323,602,2004,246,11221,8457,5493,4098,1394,841,466,446,663,173,87,97,575,2043,278,254,3052,192,51,648,57,150,177,849,1583,66084
LF,185,165,193,114,816,133,675,1218,1180,116,244,345,88,92,88,54,30,28,2898,1136,1348,304,522,1134,74,8284,6064,2582,2149,750,464,254,281,206,30,29,24,163,472,77,164,1773,84,16,321,35,40,87,202,451,38182
OR,143,163,89,116,521,85,503,973,987,93,211,311,125,59,72,26,27,67,661,355,564,487,273,1023,76,7267,5144,2146,1802,680,355,269,178,365,24,43,17,31,185,61,90,1255,51,37,184,17,54,81,194,198,28738
RR,349,433,400,251,479,207,986,2146,1772,262,686,639,404,209,183,45,169,135,1385,1591,1954,1059,997,361,360,11085,8245,5435,5400,2463,1606,797,766,576,128,53,85,151,660,173,136,2446,163,55,271,102,127,128,273,616,59402
OW,514,463,123,157,1093,305,780,910,1113,405,1752,1107,639,601,634,215,203,146,296,174,211,81,65,360,440,16852,11766,13433,9723,4958,3192,920,1056,796,203,186,436,27,258,227,358,1886,409,145,143,149,110,166,148,273,80607
EM,5680,10215,6505,7509,12081,7132,11833,16074,14774,9185,9969,5486,9134,7328,4710,3743,6122,7331,8039,12257,12876,9622,8282,12099,19950,2768,744,4053,4818,11010,16606,11124,12323,12806,4792,5436,17897,2373,5813,4248,3493,7190,5662,7094,1653,2481,3497,3838,1014,6243,396912
MT,4845,8647,5333,5370,9344,5807,9885,12157,11149,6943,8252,4266,7899,6848,3766,3130,4220,4609,6351,8953,8574,6048,5231,8402,14015,835,1384,1128,3180,10689,16666,11789,16798,15154,5343,4130,11199,1699,4833,4605,4403,8063,6432,4065,1168,1981,3061,2939,884,4797,327269
PL,5588,9078,3719,3485,8732,4141,7662,9229,10108,6226,8703,5971,6674,6071,3003,2104,2966,2719,5038,4714,4931,2429,2069,4748,13260,4663,1289,2590,2871,13486,17539,12042,21797,15516,5305,2565,7075,1263,5718,4311,3941,22904,4949,2494,1360,1265,1842,1776,1211,4032,307172
CC,3571,6379,3282,4057,6238,4529,7360,8866,7526,5418,8136,3964,4939,3861,2271,1887,2120,1954,3881,3528,3523,2048,1709,4750,10153,4185,2801,2788,2460,6562,10295,7628,11350,10172,4228,2188,4597,1201,2941,3485,3619,7766,4722,1587,651,888,1290,1324,760,3557,218995
16,2383,2926,1346,1903,3829,2225,4521,5499,4220,2805,3979,1626,1818,1482,944,673,766,732,1369,1336,1255,745,612,2327,5284,10962,10396,15422,7646,746,2789,5061,7272,6429,2627,709,1483,426,1460,1947,1900,5257,3037,697,337,405,380,653,371,1441,146458
24,2767,2377,1009,1207,3326,1573,3172,3842,3046,1919,2997,1635,1433,1060,561,718,354,372,1145,790,759,511,339,1474,3489,14621,14133,20374,11053,2613,680,4525,5955,5588,2551,451,962,381,1419,1609,1936,3343,2507,398,304,256,281,372,212,987,139386
GP,680,839,359,482,1790,449,922,1652,1487,677,904,703,462,432,255,119,192,202,445,393,398,255,231,771,966,10560,10350,12706,7344,4940,4546,466,1299,1351,923,188,545,73,376,697,878,2330,1435,227,237,144,132,150,128,535,78625
BP,870,1164,416,410,1226,481,921,1183,1686,903,1193,847,927,594,353,231,247,219,545,463,454,248,209,717,1269,10300,10999,23959,10483,6398,5963,1261,440,1638,1463,291,664,171,518,1094,1407,1831,1950,272,112,166,202,204,224,549,100335
DC,1550,2508,732,425,1465,571,987,1582,1886,923,2157,1402,1463,940,798,429,709,562,1094,862,585,205,365,612,980,12165,13574,18180,10782,6527,5863,1428,1946,702,704,509,1194,351,891,1561,2090,4006,3985,413,194,229,414,410,373,1076,115359
CM,238,289,111,122,498,90,199,381,704,110,152,123,103,88,104,41,64,58,209,98,181,40,21,107,200,4725,4614,6236,4442,2322,2366,888,1498,590,213,45,111,45,225,325,772,1468,1349,18,17,22,16,17,70,367,37092
CV,115,111,78,52,544,85,200,446,351,1323,892,1098,795,709,283,272,262,268,93,47,75,33,30,78,209,4934,3788,3042,2397,788,445,208,313,504,30,219,2020,10,40,84,52,293,72,1162,134,166,119,143,4,22,29438
ED,174,285,167,131,1404,219,594,1345,1756,2006,2190,2924,2204,1706,1154,517,856,704,166,60,101,30,13,82,420,15898,10658,7623,5025,1512,966,573,672,1291,113,2126,786,23,87,139,143,2186,219,593,1093,346,604,742,27,70,74723
NC,79,98,38,40,214,43,309,424,581,116,97,220,85,21,30,59,19,30,665,315,478,132,55,185,34,1817,1509,1399,1313,411,426,119,213,356,36,9,27,151,629,108,91,701,38,3,184,32,26,79,367,403,14814
WP,206,242,106,108,752,201,1466,1075,1692,201,313,430,210,139,348,80,109,114,3283,1135,2034,543,225,735,275,4833,4235,6778,3976,1595,1399,563,638,922,243,38,86,488,484,161,245,1556,146,16,316,112,88,114,293,481,45828
SS,205,357,91,69,465,106,236,461,771,129,182,184,193,225,85,60,49,14,242,181,259,72,56,179,261,4184,4242,4827,3570,1783,1698,701,1318,1613,413,87,126,96,215,235,503,901,792,28,32,45,17,26,18,276,32878
SB,325,410,151,91,425,164,273,557,697,201,233,275,186,154,185,54,38,45,269,273,267,144,77,140,374,3490,3950,4680,3868,2125,1935,912,1581,2354,692,58,158,121,259,539,306,1951,493,67,40,24,12,32,89,318,36062
SO,1312,1556,1270,1635,2657,1040,1904,1633,2108,435,776,495,439,311,176,124,281,424,1951,2428,2884,1754,1365,2124,2194,5963,5861,19439,6332,4120,2385,1655,1702,3445,1223,207,1847,703,1604,655,1186,2198,6729,526,305,191,170,102,172,1525,103521
MB,401,675,333,341,1867,361,509,796,823,172,203,324,83,144,100,73,59,48,270,144,178,88,57,134,403,5258,5357,5077,4309,2753,2189,1204,1945,3762,1153,60,177,47,139,663,460,8015,1009,80,52,5,18,6,72,225,52621
WD,91,214,78,47,526,61,335,620,526,984,1024,1078,1007,971,639,420,430,310,73,35,28,10,30,68,167,6444,4019,2529,2004,747,420,270,248,453,14,1228,550,11,28,36,60,618,67,235,477,137,305,404,30,41,31147
OA,189,530,383,456,1180,334,372,463,500,317,165,565,120,140,138,124,208,236,403,466,455,233,142,190,129,1476,1043,1217,773,354,294,202,141,163,19,98,818,129,266,30,37,343,47,347,243,104,189,145,47,282,17245
WS,301,431,184,211,861,200,463,808,703,902,1070,977,1053,907,1407,1264,1751,1688,91,79,53,32,26,108,214,2214,1786,1270,977,454,246,147,189,255,27,191,345,31,114,63,20,217,8,89,108,341,1787,1896,40,101,28700
ML,212,334,177,244,1965,297,481,878,716,579,598,932,855,693,1402,649,1481,2187,169,146,152,47,59,125,108,3315,2749,2172,1439,409,320,133,233,451,23,121,570,48,98,16,28,241,12,253,193,1807,579,665,30,157,31548
BE,289,599,246,274,2936,434,709,1122,1021,820,971,1387,1189,981,1729,1207,1829,2554,228,179,161,66,95,145,206,3583,2730,2106,1642,628,442,189,263,483,36,139,711,53,121,21,32,208,12,392,207,2235,624,527,31,137,38929
PC,149,54,41,46,238,93,478,368,371,130,112,155,70,79,142,36,24,55,1627,543,805,138,183,275,199,655,698,1265,828,481,228,109,202,341,52,6,50,255,283,55,67,161,67,15,61,33,28,43,58,537,12989
AN,268,285,59,68,572,149,1577,1355,1901,390,336,708,381,183,418,154,109,167,2351,1059,1638,429,219,723,295,5125,4363,4656,4011,1527,1059,633,699,1169,388,40,101,420,639,328,311,1516,223,38,421,131,167,154,640,405,44958
Entries,61430,90320,52568,45940,139946,52846,95748,118735,122638,71318,98518,75551,79175,63391,56612,35351,44971,48316,63784,57136,65040,38223,29996,57905,88387,350377,287576,337944,234343,143514,140720,81027,109153,113718,37091,29623,75326,15084,44375,32261,33817,120348,54661,30494,20458,30282,31381,37113,14027,44165,4202723
